,Actual_OFI,FNN_Model_OFI,actual_signal,FNN_signal
481,-0.9701492537313433,-0.9,SELL,SELL
482,-0.9499524865378524,-0.9,SELL,SELL
483,-0.5603448275862069,-0.9498124,SELL,SELL
484,-1.0,-0.94099736,SELL,SELL
485,-0.5,-0.57943153,SELL,SELL
486,-0.3333333333333333,-0.34467983,SELL,SELL
487,-1.0,-0.9,SELL,SELL
488,-0.4666666666666667,-0.76447916,SELL,SELL
489,-0.5121951219512195,-0.56809616,SELL,SELL
490,0.02564102564102564,0.018554792,BUY,BUY
491,-0.008849557522123894,-0.026793018,SELL,SELL
492,0.17647058823529413,0.17993306,BUY,BUY
493,-0.9174757281553398,-0.9,SELL,SELL
494,1.0,0.9,BUY,BUY
495,0.4838709677419355,0.4756142,BUY,BUY
496,-1.0,-0.9,SELL,SELL
497,-0.04,-0.029654995,SELL,SELL
498,0.2,0.1787077,BUY,BUY
499,-0.5172413793103449,-0.5860362,SELL,SELL
500,-0.982271000422119,-0.9,SELL,SELL
501,-1.0,-0.9251008,SELL,SELL
502,0.6170212765957447,0.6173749,BUY,BUY
503,-0.030303030303030304,-0.018098488,SELL,SELL
504,0.0,-0.008355275,HOLD,SELL
505,1.0,0.9,BUY,BUY
506,-0.5849056603773585,-0.567765,SELL,SELL
507,-0.5635451505016722,-0.9,SELL,SELL
508,-1.0,-0.9092044,SELL,SELL
509,0.0,-0.0125603825,HOLD,SELL
510,-0.8323699421965318,-0.9,SELL,SELL
511,-0.9189686924493554,-0.9,SELL,SELL
512,-0.6253838280450358,-0.9,SELL,SELL
513,-0.2818414322250639,0.14208554,SELL,BUY
514,-0.8591549295774648,-0.9,SELL,SELL
515,-0.47432357813362785,-0.9,SELL,SELL
516,0.4888888888888889,0.9,BUY,BUY
517,0.9620253164556962,0.9,BUY,BUY
518,0.9736842105263158,0.9,BUY,BUY
519,1.0,0.9414704,BUY,BUY
520,-0.05263157894736842,-0.045202747,SELL,SELL
521,0.14285714285714285,0.107861295,BUY,BUY
522,0.6666666666666666,0.6462757,BUY,BUY
523,-0.9818067754077792,-0.9,SELL,SELL
524,0.8880407124681934,0.9,BUY,BUY
525,-0.03529411764705882,-0.08767749,SELL,SELL
526,0.3493975903614458,0.3489023,BUY,BUY
527,0.39235412474849096,0.77007747,BUY,BUY
528,0.9777777777777777,0.9,BUY,BUY
529,0.9734382685686178,0.9,BUY,BUY
530,-0.16666666666666666,-0.24305163,SELL,SELL
531,0.9895652173913043,0.9,BUY,BUY
532,0.9775280898876404,0.9,BUY,BUY
533,0.9752734189253447,0.9,BUY,BUY
534,0.3405994550408719,0.53266287,BUY,BUY
535,-0.75,-0.77003384,SELL,SELL
536,-0.2,-0.24942802,SELL,SELL
537,0.7647058823529411,0.75749755,BUY,BUY
538,1.0,0.9813297,BUY,BUY
539,0.9927797833935018,0.9,BUY,BUY
540,0.9810576164167324,0.9,BUY,BUY
541,0.9073774905761982,0.9,BUY,BUY
542,0.9545454545454546,0.9,BUY,BUY
543,0.9530026109660574,0.9,BUY,BUY
544,0.9463087248322147,0.9,BUY,BUY
545,0.9539877300613497,0.9,BUY,BUY
546,0.0,-0.07473849,HOLD,SELL
547,-0.889795918367347,-0.9,SELL,SELL
548,-0.9865443425076452,-0.9,SELL,SELL
549,-0.9369627507163324,-0.9,SELL,SELL
550,-1.0,-0.9,SELL,SELL
551,-0.9941715237302248,-0.9,SELL,SELL
552,0.0,0.005210027,HOLD,BUY
553,0.9872,0.9,BUY,BUY
554,1.0,0.9729459,BUY,BUY
555,0.42857142857142855,0.48338294,BUY,BUY
556,0.9962157048249763,0.9,BUY,BUY
557,0.988279168886521,0.9,BUY,BUY
558,0.9233201581027668,0.9,BUY,BUY
559,0.9727798570942497,0.9,BUY,BUY
560,0.9555555555555556,0.9,BUY,BUY
561,0.3090909090909091,0.3082683,BUY,BUY
562,-1.0,-0.93781817,SELL,SELL
563,0.2,0.16933458,BUY,BUY
564,0.6082474226804123,0.5379876,BUY,BUY
